0, 8
1, 8
2, 9
3, 6
4, 10
5, 8
6, 11
7, 11
8, 14
9, 14
10, 17
11, 8
12, 13
13, 16
14, 6
15, 12
16, 18
17, 17
18, 11
19, 20
20, 14
21, 14
22, 7
23, 15
24, 13
25, 15
26, 23
27, 11
28, 11
29, 15
30, 10
31, 8
32, 11
33, 15
34, 19
35, 11
36, 14
37, 14
38, 15
39, 9
40, 13
41, 13
42, 10
43, 12
44, 15
45, 14
46, 10
47, 8
48, 13
49, 11
50, 8
51, 16
52, 18
53, 10
54, 15
55, 12
56, 10
57, 10
58, 13
59, 12
60, 19
61, 13
62, 13
63, 6
64, 15
65, 8
66, 10
67, 11
68, 17
69, 17
70, 7
71, 13
72, 16
73, 13
74, 16
75, 14
76, 8
77, 14
78, 15
79, 9
80, 15
81, 7
82, 18
83, 9
84, 18
85, 17
86, 14
87, 20
88, 13
89, 15
90, 10
91, 13
92, 18
93, 12
94, 16
95, 23
96, 15
97, 9
98, 4
99, 16
100, 9
101, 12
102, 14
103, 12
104, 9
105, 8
106, 7
107, 9
108, 16
109, 14
110, 14
111, 18
112, 17
113, 9
114, 14
115, 10
116, 13
117, 10
118, 20
119, 20
120, 9
121, 14
122, 6
123, 12
124, 12
125, 10
126, 13
127, 12
128, 14
129, 11
130, 18
131, 12
132, 14
133, 18
134, 7
135, 10
136, 5
137, 10
138, 9
139, 13
140, 12
141, 15
142, 18
143, 10
144, 8
145, 14
146, 11
147, 13
148, 10
149, 10
150, 13
151, 17
152, 13
153, 15
154, 18
155, 15
156, 12
157, 11
158, 15
159, 9
160, 18
161, 22
162, 13
163, 11
164, 13
165, 11
166, 13
167, 8
168, 10
169, 12
170, 14
171, 14
172, 10
173, 13
174, 15
175, 11
176, 17
177, 21
178, 11
179, 8
180, 18
181, 13
182, 11
183, 15
184, 13
185, 13
186, 6
187, 11
188, 16
189, 14
190, 15
191, 11
192, 13
193, 6
194, 20
195, 13
196, 11
197, 12
198, 15
199, 10
200, 14
201, 10
202, 12
203, 8
204, 12
205, 12
206, 11
207, 13
208, 10
209, 13
210, 18
211, 14
212, 13
213, 12
214, 11
215, 12
216, 6
217, 10
218, 10
219, 13
220, 15
221, 13
222, 12
223, 11
224, 12
225, 14
226, 11
227, 9
228, 16
229, 15
230, 15
231, 13
232, 19
233, 21
234, 11
235, 11
236, 13
237, 16
238, 9
239, 17
240, 11
241, 10
242, 9
243, 18
244, 9
245, 11
246, 13
247, 18
248, 15
249, 10
250, 9
251, 9
252, 16
253, 17
254, 7
255, 14
256, 11
257, 11
258, 14
259, 19
260, 12
261, 15
262, 11
263, 18
264, 13
265, 11
266, 20
267, 15
268, 15
269, 16
270, 10
271, 16
272, 16
273, 13
